genus,amount_of_species
Eubacterium,14
Akkermansia,1
Faecalibacterium,1
Alistipes,9
Prevotella,15
Bacteroides,32
Bifidobacterium,9
Odoribacter,3
Lachnospiraceae,15
Parabacteroides,6
Subdoligranulum,3
Bacteroidales,1
Bilophila,3
Ruminococcus,11
Catenibacterium,1
Oscillibacter,2
Butyricimonas,1
Collinsella,4
Parasutterella,1
Dorea,3
Coprococcus,4
Methanobrevibacter,2
Streptococcus,28
Escherichia,5
Anaerotruncus,2
Desulfovibrio,2
Clostridium,32
Pyramidobacter,1
Adlercreutzia,1
Roseburia,4
Holdemania,3
Anaerostipes,3
Burkholderiales,1
Megasphaera,3
Peptostreptococcaceae,1
Oxalobacter,1
Klebsiella,8
Mitsuokella,2
Haemophilus,7
Flavonifractor,1
Veillonella,6
Eggerthella,2
Candidatus,1
Megamonas,4
Coprobacter,1
Citrobacter,3
Ruminococcaceae,1
Clostridiaceae,1
Clostridiales,2
Acidaminococcus,3
Enterobacter,5
Pseudoflavonifractor,1
Gemella,4
Coprobacillus,3
Weissella,4
Pantoea,1
Granulicatella,3
Dialister,3
Helicobacter,2
Lactococcus,2
Burkholderia,1
Rothia,4
Lactobacillus,29
Actinobacillus,1
Slackia,3
Atopobium,4
Campylobacter,5
Gardnerella,1
Oribacterium,1
Fusobacterium,7
Sutterella,2
Neisseria,7
Coriobacteriaceae,2
Cellulophaga,1
Deinococcus,1
Solobacterium,1
Comamonas,1
Abiotrophia,1
Gordonibacter,1
Barnesiella,1
Butyrivibrio,2
Porphyromonas,6
candidate,2
Erysipelotrichaceae,5
Alloprevotella,2
Shigella,4
Scardovia,2
Olsenella,4
Enterobacteria,7
Enterococcus,8
Pseudomonas,4
Blautia,3
Plesiomonas,1
Chlorobium,1
Parvimonas,2
Dasheen,1
Leuconostoc,6
Alternanthera,1
Actinomyces,10
Turicibacter,2
Aggregatibacter,3
Peptostreptococcus,3
Propionibacterium,2
Lautropia,1
Cellulosilyticum,1
Paraprevotella,3
Butyricicoccus,1
Phascolarctobacterium,1
Succinatimonas,1
Human,2
Anaerofustis,1
Methanosphaera,1
Finegoldia,1
Bacillus,2
Cronobacter,2
Porcine,1
Enhydrobacter,1
Acinetobacter,3
Cupriavidus,1
Bacteroidetes,1
Vibrio,3
Mycoplasma,1
Chicken,1
Pedobacter,1
Granulicella,1
Yersinia,1
Halomonas,2
Cetobacterium,1
Proteus,3
Corynebacterium,5
Dysgonomonas,3
Anaeroglobus,1
Aeromonas,3
Bartonella,1
Brevibacterium,2
Bulleidia,1
Alloscardovia,1
Brachyspira,2
Tomato,2
Pyrococcus,1
Thermococcus,1
Morganella,1
Raoultella,1
Brevibacillus,1
Salmonella,3
Malvastrum,1
Vicia,1
Walleye,1
Parascardovia,1
Pseudoramibacter,1
Peptoniphilus,4
Cryptobacterium,1
Saccharomyces,1
Emilia,1
Spiribacter,1
Pediococcus,2
Fretibacterium,1
Avian,1
Pseudoalteromonas,2
Anaerococcus,3
Brachybacterium,1
Meiothermus,1
Eggerthia,1
Sida,1
Synergistes,1
Honeysuckle,2
Naumovozyma,1
Serratia,1
Limnohabitans,1
Polaromonas,1
C2likevirus,1
Xanthomonas,3
Viunalikevirus,1
Vernonia,1
Sphingopyxis,1
Microlunatus,1
Nocardioides,1
Paracoccus,2
Kocuria,2
Sphingobium,1
Shinella,1
Pseudoxanthomonas,1
Mesorhizobium,1
Riemerella,1
Variovorax,1
Brevundimonas,1
Sphingobacterium,1
Caulobacter,1
Citromicrobium,1
Leucobacter,1
Rhodanobacter,1
Leifsonia,1
Agromyces,1
Rhodopirellula,1
Enterobacteriaceae,1
Staphylococcus,3
Stomatobaculum,1
Selenomonas,2
Lachnoanaerobaculum,1
Leptotrichia,1
Buchnera,1
Chromobacterium,1
Shewanella,1
Tropheryma,1
Rheinheimera,1
Zunongwangia,1
Alicyclobacillus,1
Varibaculum,1
T5likevirus,1
Kingella,1
Mobiluncus,2
Allobaculum,1
Marvinbryantia,1
Providencia,3
Shuttleworthia,1
